"","Condition1","Condition2","rt","corr","id","phase","trial","age","gender","hand"
"1","B","C",811.189239510612,0,6,"uebung",1,27,"w","r"
"2","B","C",809.178930650362,1,6,"uebung",2,27,"w","r"
"3","B","E",1372.98063579218,1,6,"uebung",3,27,"w","r"
"4","A","E",791.030077644609,1,6,"uebung",4,27,"w","r"
"5","B","C",947.853388520999,1,6,"uebung",5,27,"w","r"
"6","B","E",1085.37281548349,1,6,"uebung",6,27,"w","r"
"7","A","C",798.764898230899,1,6,"uebung",7,27,"w","r"
"8","A","C",372.236390789842,1,6,"uebung",8,27,"w","r"
"9","A","D",669.446269345095,1,6,"uebung",9,27,"w","r"
"10","B","D",316.627268946379,0,6,"uebung",10,27,"w","r"
"11","A","C",738.566293505008,1,6,"uebung",11,27,"w","r"
"12","B","C",513.279882925776,0,6,"uebung",12,27,"w","r"
"13","B","C",488.645163942419,0,6,"uebung",13,27,"w","r"
"14","B","E",770.172246588587,1,6,"uebung",14,27,"w","r"
"15","A","C",696.944800352731,1,6,"uebung",15,27,"w","r"
"16","A","E",437.644969083071,0,6,"uebung",16,27,"w","r"
"17","A","D",423.484505748751,1,6,"uebung",17,27,"w","r"
"18","B","E",968.07425664908,1,6,"uebung",18,27,"w","r"
"19","A","D",399.836080453595,1,6,"uebung",19,27,"w","r"
"20","B","C",761.835819060067,1,6,"uebung",20,27,"w","r"
"21","A","D",500.590419236751,1,6,"uebung",21,27,"w","r"
"22","B","E",864.156647007692,1,6,"uebung",22,27,"w","r"
"23","B","D",424.904369625178,1,6,"uebung",23,27,"w","r"
"24","A","C",372.814972727205,1,6,"uebung",24,27,"w","r"
"25","B","E",983.170375990826,1,6,"uebung",25,27,"w","r"
"26","B","E",933.155818676615,1,6,"uebung",26,27,"w","r"
"27","A","C",1949.78944921662,1,6,"uebung",27,27,"w","r"
"28","A","D",1360.20644730301,1,6,"uebung",28,27,"w","r"
"29","B","C",694.229529096351,1,6,"uebung",29,27,"w","r"
"30","B","E",932.514775061025,1,6,"uebung",30,27,"w","r"
"31","A","E",528.078503152876,1,6,"uebung",31,27,"w","r"
"32","A","E",952.435906066176,1,6,"uebung",32,27,"w","r"
"33","A","C",664.693035794659,1,6,"uebung",33,27,"w","r"
"34","B","E",1811.87528346388,1,6,"uebung",34,27,"w","r"
"35","A","E",740.836020764863,1,6,"uebung",35,27,"w","r"
"36","B","E",1758.84488487144,1,6,"uebung",36,27,"w","r"
"37","A","E",304.806718369588,1,6,"experiment",37,27,"w","r"
"38","A","E",990.962186279811,1,6,"experiment",38,27,"w","r"
"39","A","C",509.114256634825,1,6,"experiment",39,27,"w","r"
"40","B","E",850.578221998293,1,6,"experiment",40,27,"w","r"
"41","B","C",638.645882088586,1,6,"experiment",41,27,"w","r"
"42","A","E",649.801312226378,0,6,"experiment",42,27,"w","r"
"43","B","D",626.543985627311,1,6,"experiment",43,27,"w","r"
"44","A","E",420.351036338589,1,6,"experiment",44,27,"w","r"
