"","Condition1","Condition2","id","rt","p","corr","vpnr","phase","age","gender","hand"
"1","-1","-1","K4",1030.31207829702,0.7,1,4,"uebung",38,"w","r"
"2","-1","-1","K4",1087.32911284188,0.7,1,4,"uebung",38,"w","r"
"3","-1","-1","K4",1327.02904904425,0.7,0,4,"uebung",38,"w","r"
"4","-1","-1","K4",1038.46978319058,0.7,1,4,"uebung",38,"w","r"
"5","-1","-1","K4",949.267262187157,0.7,1,4,"uebung",38,"w","r"
"6","-1","-1","K4",1025.29123356808,0.7,1,4,"uebung",38,"w","r"
"7","-1","-1","K4",959.789447029287,0.7,1,4,"experiment",38,"w","r"
"8","-1","-1","K4",1343.79625985739,0.7,1,4,"experiment",38,"w","r"
"9","-1","-1","K4",1195.37402440346,0.7,1,4,"experiment",38,"w","r"
"10","-1","-1","K4",946.21346086942,0.7,1,4,"experiment",38,"w","r"
"11","-1","-1","K4",1035.96109920952,0.7,1,4,"experiment",38,"w","r"
"12","-1","-1","K4",1334.01711429456,0.7,1,4,"experiment",38,"w","r"
"13","-1","-1","K4",1323.73193303545,0.7,1,4,"experiment",38,"w","r"
"14","-1","-1","K4",952.384538011685,0.7,1,4,"experiment",38,"w","r"
"15","-1","-1","K4",1076.24453440775,0.7,1,4,"experiment",38,"w","r"
"16","-1","-1","K4",1086.47914064226,0.7,0,4,"experiment",38,"w","r"
"17","-1","-1","K4",1408.65421755755,0.7,1,4,"experiment",38,"w","r"
"18","-1","-1","K4",1073.57430659506,0.7,1,4,"experiment",38,"w","r"
"19","-1","-1","K4",1211.53725495432,0.7,1,4,"experiment",38,"w","r"
"20","-1","-1","K4",1230.00841593658,0.7,1,4,"experiment",38,"w","r"
"21","-1","-1","K4",803.481788635327,0.7,0,4,"experiment",38,"w","r"
"22","-1","-1","K4",859.06126743288,0.7,1,4,"experiment",38,"w","r"
"23","-1","-1","K4",913.763373669011,0.7,0,4,"experiment",38,"w","r"
"24","-1","-1","K4",1066.72766048338,0.7,0,4,"experiment",38,"w","r"
"25","-1","-1","K4",1438.8933968639,0.7,1,4,"experiment",38,"w","r"
"26","-1","-1","K4",1086.35843406293,0.7,1,4,"experiment",38,"w","r"
"27","-1","-1","K4",1259.2278703283,0.7,1,4,"experiment",38,"w","r"
